0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
36,97,16,74,60,47,60,54,79,97,69,9,60,85,72,77,88,55,27,92,6,55,28,15,21,0,43,15,78,35,19,22,71,41,90,1,72,76,91,72,64,48,73,28,2,78,5,85,94,20,66,74,23,24,15,21,30,31,86,76,12,92,64,93,63,81,49,99,34,92,1,32,19,34,61,66,73,83,41,54,46,45,48,16,44,95,58,76,77,81,56,43,53,44,74,63,52,34,50,19
67,98,15,74,2,61,48,2,17,71,28,79,25,38,80,11,61,39,84,94,25,11,63,0,79,67,46,92,33,73,85,76,9,16,95,33,17,71,57,55,50,27,91,74,11,87,88,5,93,26,53,86,32,33,89,55,89,87,83,97,25,93,81,50,42,90,93,60,12,66,51,73,46,2,82,59,89,52,69,82,83,13,75,67,91,24,0,52,37,82,91,65,76,77,86,34,3,69,87,15
74,45,41,94,54,67,77,33,74,15,53,24,74,96,5,24,69,40,81,12,56,14,24,42,53,80,58,54,46,15,98,7,69,20,52,81,36,53,58,19,46,9,54,74,64,87,21,69,0,1,32,37,29,32,22,39,12,70,50,57,52,60,11,61,72,38,56,31,67,19,18,49,65,66,35,89,31,36,96,83,33,96,37,99,93,33,61,38,6,26,21,77,92,99,10,22,76,38,63,18
25,70,69,97,55,81,31,20,81,2,35,17,84,47,71,28,26,56,19,18,26,85,0,18,92,53,24,80,13,96,40,60,46,37,49,9,97,91,75,17,87,80,48,8,5,35,14,10,57,56,93,99,55,84,17,45,69,4,15,71,51,2,11,28,17,9,33,81,78,55,66,67,96,62,9,90,91,23,87,38,64,88,4,72,76,80,9,97,89,8,58,57,55,86,89,82,25,3,50,81
42,48,2,58,80,95,51,38,11,24,88,96,59,3,50,38,72,59,11,49,46,49,78,91,20,40,35,89,21,68,71,41,3,92,43,54,44,21,32,50,49,61,91,23,61,78,63,58,95,39,39,54,36,8,84,85,30,88,57,73,1,30,94,76,2,75,22,81,76,10,35,16,35,77,90,26,68,50,92,43,62,6,65,22,35,76,31,61,69,34,68,23,9,82,55,44,90,79,1,42
77,86,21,96,93,44,52,80,38,76,26,75,59,94,3,36,98,33,75,32,93,75,72,64,3,60,12,34,46,95,72,30,75,30,4,80,44,82,66,74,22,1,85,49,69,57,15,90,70,44,53,89,18,92,11,2,56,25,44,24,70,54,31,90,7,82,37,7,51,26,42,49,59,34,30,71,41,48,41,77,52,84,44,68,90,43,41,22,5,81,72,77,33,40,17,97,84,31,84,2
23,20,17,52,18,70,93,41,14,56,72,50,30,75,41,80,7,70,99,20,83,80,92,60,65,95,97,75,48,79,32,12,33,32,34,63,27,72,62,63,2,74,11,66,80,14,83,28,20,42,41,32,22,16,34,97,54,4,50,71,16,41,14,95,97,78,5,6,21,19,78,12,63,26,98,86,30,84,15,5,82,96,52,2,86,28,91,59,55,75,22,7,5,43,39,76,9,28,40,87
75,33,13,76,8,65,2,19,97,93,94,92,35,86,9,73,71,93,63,33,25,49,81,86,61,31,1,7,11,40,38,52,43,39,60,46,33,33,49,94,32,12,1,89,66,52,43,74,42,61,62,36,57,80,29,92,24,38,71,91,1,82,73,6,74,58,27,93,36,59,37,2,15,30,16,30,41,92,12,94,31,96,85,95,43,14,19,54,22,79,55,53,62,78,72,87,11,64,21,52
78,50,47,14,26,1,28,7,38,51,85,67,19,11,7,6,69,41,60,11,16,33,53,39,69,9,33,59,51,31,41,19,88,24,19,93,72,39,15,83,8,99,44,42,1,42,78,80,15,55,89,37,72,95,37,14,49,46,4,22,59,87,70,97,72,78,68,26,11,9,45,76,2,29,53,76,34,43,0,64,6,93,93,50,96,8,6,36,72,52,20,94,34,76,36,8,81,98,35,28
20,95,81,39,88,88,72,41,63,15,67,28,73,70,58,84,72,59,46,90,17,36,39,63,83,52,86,33,46,95,70,83,3,33,39,94,35,71,75,43,4,82,12,80,51,15,54,46,13,82,54,22,14,16,56,9,14,12,69,9,60,79,12,26,89,82,60,79,91,68,81,77,88,89,92,50,68,39,95,62,49,66,33,47,82,75,69,95,59,2,25,41,72,30,47,70,13,99,88,60
5,81,10,57,40,73,82,94,16,87,0,23,71,88,41,3,82,9,6,37,8,71,77,84,54,83,51,43,5,17,86,85,34,25,0,46,21,8,27,80,40,15,95,53,31,24,61,8,27,80,32,42,93,65,9,21,15,53,2,48,15,37,35,5,22,51,6,84,45,82,92,24,63,96,74,4,66,2,38,69,98,99,24,56,49,30,81,55,3,72,28,21,1,63,8,42,27,35,68,21
37,64,54,3,73,36,12,26,58,56,6,67,84,8,58,24,63,78,27,80,21,54,84,47,46,46,91,0,51,47,34,37,13,47,45,62,77,92,71,93,82,61,16,24,99,84,24,22,24,50,41,32,34,94,29,81,26,16,14,78,11,79,2,19,7,21,76,44,29,32,45,68,53,34,21,84,70,11,65,83,20,77,62,2,67,35,98,1,26,10,4,12,41,0,62,76,76,17,6,13
45,62,50,91,59,37,23,95,72,3,82,29,31,63,9,49,21,71,67,51,11,57,63,92,68,38,68,30,11,53,32,25,65,85,4,41,55,11,38,38,67,89,20,46,49,11,69,87,18,5,82,37,46,94,3,95,15,2,68,15,17,77,31,2,47,12,75,24,34,89,15,15,52,14,82,12,62,51,0,46,17,45,96,31,19,29,49,2,93,55,41,60,33,71,82,13,26,57,12,55
55,41,97,85,52,2,55,47,24,41,35,23,25,81,6,73,78,1,96,91,2,47,61,20,24,82,8,20,59,7,48,12,40,82,72,54,11,9,3,56,39,62,45,38,81,62,35,1,95,2,8,76,94,19,49,16,64,79,27,92,72,59,47,92,34,12,64,68,13,57,52,76,29,33,96,67,41,49,5,89,34,39,31,70,33,95,53,14,77,7,23,47,87,14,71,23,17,46,86,88
27,43,43,29,51,17,51,80,75,81,31,12,4,32,50,81,37,30,60,51,91,60,44,25,10,88,49,89,92,55,79,95,37,25,10,30,7,53,43,98,12,11,32,93,38,55,12,85,11,43,7,44,39,23,19,78,23,60,29,91,3,57,4,63,36,71,45,33,65,80,11,55,69,40,60,96,22,39,46,87,34,31,15,91,93,33,81,91,92,1,76,52,91,86,30,79,73,8,26,17
44,68,80,79,9,7,5,14,31,29,63,69,54,93,92,69,12,59,23,44,65,46,1,7,42,85,18,41,23,32,28,71,87,20,32,92,18,84,83,35,85,81,58,87,2,18,36,60,3,86,3,50,21,73,99,88,82,90,12,51,61,28,22,31,32,41,48,60,25,3,99,31,2,12,54,33,82,53,68,27,94,67,74,45,11,54,87,29,28,88,23,12,85,78,83,90,93,16,38,40
48,6,88,39,49,62,34,4,4,23,90,29,26,74,85,13,55,11,97,70,19,34,24,2,84,58,73,28,57,55,48,15,32,89,14,46,68,72,59,59,21,3,73,60,84,95,67,39,75,17,63,8,74,14,82,69,55,45,24,51,39,88,10,89,75,82,46,5,35,30,90,4,59,59,10,68,11,33,67,91,90,34,25,1,77,52,48,78,41,63,19,74,64,73,78,1,46,94,77,73
56,89,83,82,23,81,49,78,62,93,74,93,18,72,11,31,96,77,56,76,81,12,16,14,13,43,8,35,17,29,23,36,19,96,42,3,74,19,98,75,90,72,96,84,78,94,39,61,43,45,24,79,92,77,27,84,0,46,60,34,87,80,64,61,33,55,99,84,45,8,9,73,94,41,65,61,42,39,66,33,78,63,17,68,9,42,72,39,43,57,0,29,1,2,63,45,88,76,81,78
50,91,79,48,54,7,52,80,41,48,72,33,33,12,91,47,36,20,28,43,14,48,45,14,98,0,86,18,26,23,68,25,19,13,23,39,10,90,2,54,73,85,52,60,64,87,47,36,96,33,96,74,86,96,11,62,29,1,99,6,82,55,94,73,1,87,93,80,49,15,27,42,18,92,85,80,74,68,28,92,98,99,11,56,10,78,26,18,17,67,89,21,97,76,43,11,48,31,96,28
56,80,63,68,55,85,92,72,65,11,41,39,35,96,55,94,81,30,33,57,88,8,19,38,41,14,90,12,19,40,65,59,97,58,43,50,34,38,93,63,87,45,29,35,89,27,23,70,51,86,58,56,19,90,58,36,19,99,20,41,85,50,45,54,69,14,7,85,83,27,25,30,40,86,40,96,35,54,18,44,59,21,83,62,97,75,13,42,14,88,42,43,79,4,6,84,73,12,52,81
88,88,49,21,7,59,56,7,64,99,11,1,95,19,89,56,12,14,98,58,87,11,41,90,79,93,46,74,57,39,89,30,71,90,97,15,67,98,82,6,58,89,49,77,68,53,34,36,15,8,56,25,45,7,66,86,50,31,52,9,27,1,64,34,5,90,16,73,51,12,5,5,14,64,24,81,58,67,26,47,47,50,6,0,80,81,92,12,13,64,4,32,30,90,72,99,40,65,79,15
78,28,88,27,4,8,32,88,87,72,70,13,32,58,31,18,16,50,75,22,89,79,90,4,16,45,21,83,71,93,93,36,27,23,76,94,90,42,0,29,2,49,8,16,15,64,93,47,54,18,45,52,8,8,83,34,26,10,57,61,23,92,54,1,96,37,47,51,70,70,97,81,39,52,73,55,65,38,13,57,70,2,0,0,81,96,85,73,87,98,66,15,91,53,9,15,92,89,94,78
52,63,32,17,71,72,31,93,75,15,93,22,99,25,13,80,33,49,58,92,72,40,9,48,16,84,93,62,63,28,80,30,88,45,78,22,59,15,47,54,99,85,48,59,11,43,89,98,60,88,56,70,55,41,54,45,71,3,31,56,32,61,39,8,24,60,26,2,48,33,48,26,5,66,24,53,11,5,79,5,50,29,61,51,36,52,98,92,6,12,2,29,1,60,71,97,7,72,60,68
55,2,47,67,42,4,51,18,63,1,45,73,82,9,98,4,61,48,24,15,47,20,18,30,60,47,31,45,72,98,47,15,86,99,51,4,57,12,22,39,15,86,65,40,46,17,61,31,57,43,38,64,65,41,53,49,55,16,31,17,84,69,38,43,77,98,6,31,33,72,67,78,59,85,99,19,24,68,72,36,61,78,70,16,94,97,63,77,86,29,24,21,52,50,43,79,74,34,4,7
77,34,27,25,32,60,75,86,53,34,62,66,43,71,86,34,25,83,26,52,23,23,49,93,90,87,63,68,46,11,99,36,84,55,43,61,10,24,29,21,8,26,74,61,19,3,3,88,49,15,63,74,14,14,30,72,99,78,37,74,14,8,96,47,29,10,30,2,74,79,55,82,22,57,11,22,44,22,94,43,94,64,43,65,78,9,70,61,53,48,46,58,46,27,84,95,65,10,29,80
81,23,78,43,35,99,42,25,37,73,6,56,44,96,16,81,56,98,73,32,94,9,38,0,70,48,46,89,87,83,89,90,95,32,93,16,62,0,37,10,77,71,48,58,43,14,14,68,27,2,29,50,15,90,74,38,45,14,26,99,75,81,42,1,3,48,44,59,4,99,22,31,50,91,24,58,26,4,91,23,41,60,39,24,65,91,13,43,76,49,84,93,70,0,21,29,80,23,34,5
10,46,30,3,98,94,84,98,71,62,22,30,12,75,46,91,87,22,67,68,17,37,50,3,61,35,52,63,14,97,37,30,46,72,62,4,62,14,70,8,15,10,27,53,90,24,82,4,88,24,80,73,26,31,97,8,32,69,41,91,2,40,63,8,76,34,53,45,6,31,11,85,84,55,10,66,44,58,29,23,91,28,25,22,73,58,89,7,12,36,43,23,32,70,99,56,28,23,2,84
52,33,79,13,57,83,70,90,37,89,80,1,41,30,7,71,18,50,86,40,10,42,56,55,25,67,58,75,61,65,62,23,43,36,50,8,94,87,83,76,3,68,16,5,19,49,86,51,65,42,45,28,85,34,10,87,81,60,29,92,22,67,89,29,80,35,21,16,80,62,3,31,2,58,33,88,30,79,99,81,16,49,52,12,62,45,92,18,37,69,26,24,49,59,32,66,91,41,5,0
39,49,60,84,13,84,90,82,68,24,83,59,61,2,34,85,26,43,9,31,76,27,91,76,56,71,22,27,23,18,95,4,98,48,19,58,15,24,18,99,45,85,2,89,1,90,69,34,35,45,7,26,10,87,27,77,79,54,0,82,32,67,58,26,49,48,52,5,82,71,72,70,83,48,69,52,14,53,18,72,9,74,87,10,49,68,68,43,90,16,24,88,54,82,64,10,43,10,63,18
5,89,52,29,17,88,30,87,43,59,93,56,64,34,93,93,73,44,77,7,14,36,37,92,19,20,19,51,27,90,23,89,10,20,47,90,81,38,79,76,2,13,58,51,32,13,50,35,2,65,67,62,29,51,39,79,68,72,61,98,75,63,52,7,63,33,42,60,23,17,98,16,59,35,95,83,96,52,75,25,25,51,90,8,73,29,19,30,44,99,37,99,12,15,72,24,33,94,79,70
23,41,68,67,73,35,58,15,59,13,52,28,88,15,94,9,57,19,36,86,50,18,41,91,51,45,9,14,58,27,18,35,57,54,83,47,47,76,48,6,92,50,67,67,1,33,36,97,8,6,98,25,15,46,61,61,15,9,84,13,76,43,34,33,90,84,44,29,1,24,83,21,47,25,42,30,52,65,64,20,2,37,85,32,40,47,88,11,88,41,59,53,47,86,97,65,99,62,89,75
56,69,11,53,26,49,43,56,92,62,73,12,49,81,51,64,99,23,87,44,78,70,52,50,15,74,41,9,1,91,78,2,97,38,81,77,90,56,85,11,58,50,84,7,86,53,25,27,3,31,24,32,37,75,51,68,61,38,1,15,51,17,78,72,28,8,69,0,37,93,94,46,61,75,14,74,2,24,89,69,75,73,91,34,57,69,18,3,56,67,74,73,37,3,83,50,95,74,32,88
46,98,98,70,90,46,29,26,63,28,97,65,94,11,64,4,52,80,22,77,10,20,55,25,79,69,30,89,1,88,2,33,94,88,7,85,29,91,23,33,30,5,16,13,66,21,92,69,44,0,25,4,33,33,64,63,41,99,11,8,16,0,44,76,73,43,91,19,61,79,2,16,78,54,45,51,0,93,82,37,0,9,49,5,71,63,39,63,72,76,38,3,74,18,10,52,82,8,97,20
51,96,20,85,43,3,67,36,55,73,79,90,27,26,52,72,30,81,21,64,61,6,37,58,71,92,93,95,75,93,28,12,78,29,88,82,23,54,48,36,79,62,79,8,44,4,64,6,88,42,41,91,91,65,20,69,30,72,82,34,40,42,20,85,44,32,84,37,37,50,33,81,81,85,83,95,69,49,53,37,37,24,28,97,22,58,30,13,83,96,14,87,78,75,31,82,36,58,66,97
30,71,19,22,54,40,81,92,30,35,71,21,8,97,73,49,21,20,52,99,54,83,96,20,98,94,93,33,90,3,42,66,60,67,58,92,79,90,43,46,12,21,25,19,7,48,57,69,69,72,60,18,4,60,8,35,7,13,50,36,83,55,57,95,95,7,74,24,85,58,31,81,73,43,51,49,45,48,99,76,37,31,5,71,76,31,98,57,75,19,1,88,24,27,3,37,29,37,47,89
68,44,85,71,90,90,44,29,53,83,4,95,81,92,98,13,66,73,14,29,15,64,2,73,5,47,10,12,62,46,56,13,64,10,48,3,6,82,2,91,97,12,41,94,67,61,31,27,47,19,5,69,53,62,52,0,71,91,22,17,23,64,63,19,56,92,55,12,48,57,13,75,79,24,52,98,99,11,81,25,55,3,86,69,65,44,37,58,74,89,6,67,36,52,90,71,34,98,87,59
12,9,20,18,89,55,98,62,15,15,53,6,61,68,57,13,58,78,87,80,6,7,96,66,45,40,26,16,12,31,93,97,42,78,25,64,60,66,94,81,93,57,55,15,97,36,63,89,81,47,25,73,1,0,28,34,8,9,14,37,86,88,6,59,45,18,0,99,28,47,59,33,62,93,17,37,68,17,28,67,72,43,18,2,85,90,83,45,28,32,27,28,86,91,14,65,88,27,2,15
35,9,15,95,39,63,81,37,75,65,64,6,38,23,73,18,49,39,93,54,18,17,88,7,9,60,21,30,12,97,87,85,82,69,63,36,15,75,51,11,99,82,21,1,72,87,77,26,56,31,36,96,65,68,17,61,78,17,55,47,26,84,10,90,72,3,74,87,45,27,46,59,39,78,5,74,3,32,44,9,65,83,80,67,47,69,90,52,22,90,88,17,2,88,12,8,92,71,51,74
91,25,4,58,61,95,62,73,29,26,17,87,53,41,13,10,39,41,6,27,29,84,47,0,74,80,63,84,51,76,73,97,43,58,74,2,12,82,46,96,67,98,62,70,95,5,63,89,35,98,68,95,86,36,45,6,34,26,34,71,24,6,30,0,55,51,72,56,24,48,11,31,83,3,21,47,50,75,42,83,2,4,13,65,29,50,47,69,35,33,50,34,5,12,1,74,88,85,38,12
20,54,51,84,26,44,15,77,31,36,59,99,92,59,72,81,70,92,97,35,71,49,95,57,61,39,86,61,81,45,21,75,3,15,91,96,27,21,63,87,30,0,46,85,46,36,40,24,86,67,88,94,11,22,82,61,42,62,3,54,86,97,79,97,30,0,34,72,10,8,81,85,28,46,17,83,25,95,92,31,25,2,70,43,25,59,86,85,40,30,68,17,37,93,72,18,18,5,21,37
